"X.","X0","X1","X0.1","X1.1","X0.2","X1.2"
"  1","11 (28.2%)","30 (90.9%)","12 (15.8%)","28 (82.4%)","23 (20.0%)","58 (86.6%)"
"Metformin","","","","","",""
"  0","39 (100%)","28 (84.8%)","75 (98.7%)","28 (82.4%)","114 (99.1%)","56 (83.6%)"
"  1","0 (0%)","5 (15.2%)","1 (1.3%)","6 (17.6%)","1 (0.9%)","11 (16.4%)"
"Glimepiride","","","","","",""
"  0","38 (97.4%)","30 (90.9%)","76 (100%)","31 (91.2%)","114 (99.1%)","61 (91.0%)"
"  1","1 (2.6%)","3 (9.1%)","0 (0%)","3 (8.8%)","1 (0.9%)","6 (9.0%)"
"Glipizide","","","","","",""
"  0","39 (100%)","31 (93.9%)","76 (100%)","31 (91.2%)","115 (100%)","62 (92.5%)"
"  1","0 (0%)","2 (6.1%)","0 (0%)","3 (8.8%)","0 (0%)","5 (7.5%)"
"Sitagliptin","","","","","",""
"  0","39 (100%)","30 (90.9%)","76 (100%)","30 (88.2%)","115 (100%)","60 (89.6%)"
"  1","0 (0%)","3 (9.1%)","0 (0%)","4 (11.8%)","0 (0%)","7 (10.4%)"
"Full Dose Anticoagulation","","","","","",""
"  0","14 (35.9%)","6 (18.2%)","15 (19.7%)","5 (14.7%)","29 (25.2%)","11 (16.4%)"
"  1","25 (64.1%)","27 (81.8%)","61 (80.3%)","29 (85.3%)","86 (74.8%)","56 (83.6%)"
"Prophylactic Anticoagulation","","","","","",""
"  0","21 (53.8%)","16 (48.5%)","66 (86.8%)","28 (82.4%)","87 (75.7%)","44 (65.7%)"
"  1","18 (46.2%)","17 (51.5%)","10 (13.2%)","6 (17.6%)","28 (24.3%)","23 (34.3%)"
"HbA1c","","","","","",""
"  Mean (SD)","5.98 (0.911)","8.85 (2.57)","6.21 (0.586)","8.48 (2.48)","6.08 (0.779)","8.66 (2.50)"
"  Median [Min, Max]","5.60 [4.80, 8.80]","8.50 [5.40, 13.1]","6.30 [5.50, 7.50]","7.80 [6.00, 14.3]","5.90 [4.80, 8.80]","7.95 [5.40, 14.3]"
"  Missing","22 (56.4%)","14 (42.4%)","62 (81.6%)","15 (44.1%)","84 (73.0%)","29 (43.3%)"
"Vit_D_level","","","","","",""
"  Mean (SD)","NA (NA)","21.6 (6.94)","83.1 (13.5)","66.2 (73.5)","83.1 (13.5)","48.3 (57.5)"
"  Median [Min, Max]","NA [NA, NA]","21.6 [16.7, 26.5]","88.0 [63.5, 93.0]","36.0 [12.6, 150]","88.0 [63.5, 93.0]","26.5 [12.6, 150]"
"  Missing","39 (100%)","31 (93.9%)","72 (94.7%)","31 (91.2%)","111 (96.5%)","62 (92.5%)"
"ALT","","","","","",""
"  Mean (SD)","22.6 (10.6)","23.3 (31.7)","46.7 (49.6)","73.7 (165)","38.8 (42.5)","48.9 (121)"
"  Median [Min, Max]","20.0 [8.00, 49.0]","15.0 [7.00, 186]","31.0 [8.00, 286]","29.0 [8.00, 915]","27.0 [8.00, 286]","22.0 [7.00, 915]"
"  Missing","3 (7.7%)","1 (3.0%)","3 (3.9%)","1 (2.9%)","6 (5.2%)","2 (3.0%)"
"AST","","","","","",""
"  Mean (SD)","26.3 (20.8)","22.5 (22.0)","55.0 (53.7)","96.6 (241)","45.3 (47.2)","60.1 (175)"
"  Median [Min, Max]","19.5 [11.0, 118]","16.5 [9.00, 134]","39.0 [11.0, 325]","36.0 [14.0, 1350]","32.5 [11.0, 325]","26.0 [9.00, 1350]"
"  Missing","1 (2.6%)","1 (3.0%)","2 (2.6%)","1 (2.9%)","3 (2.6%)","2 (3.0%)"
"hs-CRP","","","","","",""
"  Mean (SD)","0.0400 (NA)","NA (NA)","9.00 (7.31)","9.14 (7.68)","8.44 (7.41)","9.14 (7.68)"
"  Median [Min, Max]","0.0400 [0.0400, 0.0400]","NA [NA, NA]","10.1 [0.118, 23.3]","7.75 [1.55, 25.0]","8.23 [0.0400, 23.3]","7.75 [1.55, 25.0]"
"  Missing","38 (97.4%)","33 (100%)","61 (80.3%)","26 (76.5%)","99 (86.1%)","59 (88.1%)"
"CRP","","","","","",""
"  Mean (SD)","2.45 (2.82)","14.5 (9.31)","9.49 (10.2)","5.15 (3.27)","7.73 (9.35)","9.30 (7.88)"
"  Median [Min, Max]","1.63 [0.0300, 6.52]","14.8 [2.79, 25.5]","5.73 [0.300, 33.1]","5.53 [0.590, 8.74]","3.87 [0.0300, 33.1]","7.54 [0.590, 25.5]"
"  Missing","35 (89.7%)","29 (87.9%)","64 (84.2%)","29 (85.3%)","99 (86.1%)","58 (86.6%)"
"Fibrinogen","","","","","",""
"  Mean (SD)","357 (267)","986 (NA)","539 (156)","539 (113)","532 (161)","561 (147)"
"  Median [Min, Max]","357 [168, 546]","986 [986, 986]","509 [269, 887]","567 [218, 697]","509 [168, 887]","574 [218, 986]"
"  Missing","37 (94.9%)","32 (97.0%)","29 (38.2%)","14 (41.2%)","66 (57.4%)","46 (68.7%)"
"D-Dimer","","","","","",""
"  Mean (SD)","1260 (1380)","1270 (1160)","436 (962)","722 (959)","529 (1040)","777 (973)"
"  Median [Min, Max]","662 [322, 4350]","1010 [267, 2540]","17.6 [0.320, 7290]","559 [0.210, 4330]","322 [0.320, 7290]","577 [0.210, 4330]"
"  Missing","31 (79.5%)","30 (90.9%)","13 (17.1%)","7 (20.6%)","44 (38.3%)","37 (55.2%)"
"ESR","","","","","",""
"  Mean (SD)","25.5 (27.4)","50.3 (29.4)","27.7 (21.3)","43.6 (34.8)","27.3 (21.8)","45.8 (32.4)"
"  Median [Min, Max]","19.5 [3.00, 60.0]","44.5 [22.0, 101]","24.0 [1.00, 80.0]","31.5 [1.00, 115]","24.0 [1.00, 80.0]","37.0 [1.00, 115]"
"  Missing","35 (89.7%)","27 (81.8%)","57 (75.0%)","22 (64.7%)","92 (80.0%)","49 (73.1%)"
"Ferritin","","","","","",""
"  Mean (SD)","214 (234)","691 (928)","1020 (1190)","1490 (2890)","967 (1170)","1310 (2600)"
"  Median [Min, Max]","169 [27.0, 607]","283 [16.1, 2880]","541 [18.7, 5750]","305 [116, 12700]","516 [18.7, 5750]","297 [16.1, 12700]"
"  Missing","34 (87.2%)","24 (72.7%)","6 (7.9%)","2 (5.9%)","40 (34.8%)","26 (38.8%)"
"LDH","","","","","",""
"  Mean (SD)","485 (404)","298 (100)","340 (170)","326 (160)","348 (187)","323 (153)"
"  Median [Min, Max]","325 [209, 1080]","268 [219, 438]","293 [148, 890]","286 [142, 824]","293 [148, 1080]","286 [142, 824]"
"  Missing","35 (89.7%)","29 (87.9%)","6 (7.9%)","3 (8.8%)","41 (35.7%)","32 (47.8%)"
"Lactic Acid","","","","","",""
"  Mean (SD)","1.99 (1.76)","2.26 (1.77)","5.86 (21.4)","9.33 (30.8)","4.79 (18.2)","6.30 (23.4)"
"  Median [Min, Max]","1.70 [0.700, 8.50]","1.65 [1.00, 7.50]","1.30 [0.700, 118]","1.60 [0.800, 150]","1.40 [0.700, 118]","1.60 [0.800, 150]"
"  Missing","21 (53.8%)","15 (45.5%)","29 (38.2%)","10 (29.4%)","50 (43.5%)","25 (37.3%)"
"PCT","","","","","",""
"  Mean (SD)","0.944 (2.00)","3.04 (5.76)","0.932 (4.02)","0.430 (0.953)","0.933 (3.84)","1.25 (3.46)"
"  Median [Min, Max]","0.157 [0.0340, 5.02]","0.474 [0.0510, 18.9]","0.130 [0.0400, 27.7]","0.160 [0.0300, 4.65]","0.130 [0.0340, 27.7]","0.190 [0.0300, 18.9]"
"  Missing","33 (84.6%)","21 (63.6%)","27 (35.5%)","8 (23.5%)","60 (52.2%)","29 (43.3%)"
"Glucose Lvl","","","","","",""
"  Mean (SD)","122 (34.9)","226 (107)","118 (26.1)","204 (96.2)","120 (29.3)","215 (101)"
"  Median [Min, Max]","110 [82.0, 215]","198 [97.0, 515]","112 [84.0, 257]","173 [111, 498]","112 [82.0, 257]","189 [97.0, 515]"
"  Missing","0 (0%)","1 (3.0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","2 (3.0%)"
"Screat","","","","","",""
"  Mean (SD)","1.15 (0.892)","1.41 (0.945)","2.39 (9.78)","1.96 (3.22)","1.96 (7.95)","1.69 (2.39)"
"  Median [Min, Max]","0.843 [0.429, 5.06]","1.07 [0.484, 3.84]","0.850 [0.290, 82.0]","0.860 [0.500, 18.0]","0.850 [0.290, 82.0]","0.960 [0.484, 18.0]"
"  Missing","0 (0%)","1 (3.0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","2 (3.0%)"
"Hyperlipidemia","","","","","",""
"  0","15 (38.5%)","10 (30.3%)","53 (69.7%)","8 (23.5%)","68 (59.1%)","18 (26.9%)"
"  1","24 (61.5%)","23 (69.7%)","23 (30.3%)","26 (76.5%)","47 (40.9%)","49 (73.1%)"
"# Metabolic Syndrome Criteria","","","","","",""
"  0","11 (28.2%)","0 (0%)","22 (28.9%)","0 (0%)","33 (28.7%)","0 (0%)"
"  1","6 (15.4%)","3 (9.1%)","19 (25.0%)","2 (5.9%)","25 (21.7%)","5 (7.5%)"
"  2","22 (56.4%)","10 (30.3%)","23 (30.3%)","3 (8.8%)","45 (39.1%)","13 (19.4%)"
"  3","0 (0%)","19 (57.6%)","9 (11.8%)","15 (44.1%)","9 (7.8%)","34 (50.7%)"
"  4","0 (0%)","1 (3.0%)","3 (3.9%)","14 (41.2%)","3 (2.6%)","15 (22.4%)"
"WHO-OSCI D1","","","","","",""
"  0","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","5 (6.6%)","3 (8.8%)","5 (4.3%)","3 (4.5%)"
"  4","0 (0%)","0 (0%)","16 (21.1%)","6 (17.6%)","16 (13.9%)","6 (9.0%)"
"  5","0 (0%)","0 (0%)","45 (59.2%)","19 (55.9%)","45 (39.1%)","19 (28.4%)"
"  6","0 (0%)","0 (0%)","8 (10.5%)","5 (14.7%)","8 (7.0%)","5 (7.5%)"
"  7","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"WHO-OSCI D3","","","","","",""
"  0","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","18 (23.7%)","7 (20.6%)","18 (15.7%)","7 (10.4%)"
"  5","0 (0%)","0 (0%)","31 (40.8%)","12 (35.3%)","31 (27.0%)","12 (17.9%)"
"  6","0 (0%)","0 (0%)","8 (10.5%)","7 (20.6%)","8 (7.0%)","7 (10.4%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","16 (21.1%)","6 (17.6%)","55 (47.8%)","39 (58.2%)"
"WHO-OSCI D7","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","1 (2.9%)","0 (0%)","1 (1.5%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","4 (5.3%)","0 (0%)","4 (3.5%)","0 (0%)"
"  5","0 (0%)","0 (0%)","5 (6.6%)","2 (5.9%)","5 (4.3%)","2 (3.0%)"
"  6","0 (0%)","0 (0%)","9 (11.8%)","7 (20.6%)","9 (7.8%)","7 (10.4%)"
"  7","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","57 (75.0%)","23 (67.6%)","96 (83.5%)","56 (83.6%)"
"WHO-OSCI D14","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","3 (3.9%)","0 (0%)","3 (2.6%)","0 (0%)"
"  5","0 (0%)","0 (0%)","3 (3.9%)","0 (0%)","3 (2.6%)","0 (0%)"
"  6","0 (0%)","0 (0%)","1 (1.3%)","4 (11.8%)","1 (0.9%)","4 (6.0%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","67 (88.2%)","29 (85.3%)","106 (92.2%)","62 (92.5%)"
"WHO-OSCI D21","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"  5","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  6","0 (0%)","0 (0%)","2 (2.6%)","3 (8.8%)","2 (1.7%)","3 (4.5%)"
"  7","0 (0%)","0 (0%)","2 (2.6%)","1 (2.9%)","2 (1.7%)","1 (1.5%)"
"  Missing","39 (100%)","33 (100%)","71 (93.4%)","30 (88.2%)","110 (95.7%)","63 (94.0%)"
"WHO-OSCI D28","","","","","",""
"  0","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  1","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  2","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  3","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  4","0 (0%)","0 (0%)","0 (0%)","1 (2.9%)","0 (0%)","1 (1.5%)"
"  5","0 (0%)","0 (0%)","1 (1.3%)","0 (0%)","1 (0.9%)","0 (0%)"
"  6","0 (0%)","0 (0%)","1 (1.3%)","1 (2.9%)","1 (0.9%)","1 (1.5%)"
"  7","0 (0%)","0 (0%)","1 (1.3%)","2 (5.9%)","1 (0.9%)","2 (3.0%)"
"  Missing","39 (100%)","33 (100%)","73 (96.1%)","30 (88.2%)","112 (97.4%)","63 (94.0%)"
"WHO-OSCI DISCHARGE","","","","","",""
"  1","0 (0%)","0 (0%)","50 (65.8%)","18 (52.9%)","50 (43.5%)","18 (26.9%)"
"  2","0 (0%)","0 (0%)","19 (25.0%)","8 (23.5%)","19 (16.5%)","8 (11.9%)"
"  4","0 (0%)","0 (0%)","1 (1.3%)","2 (5.9%)","1 (0.9%)","2 (3.0%)"
"  8","0 (0%)","0 (0%)","6 (7.9%)","6 (17.6%)","6 (5.2%)","6 (9.0%)"
"  Missing","39 (100%)","33 (100%)","0 (0%)","0 (0%)","39 (33.9%)","33 (49.3%)"
"G-CSF (CSF-3)","","","","","",""
"  Mean (SD)","1.83 (2.65)","1.10 (1.28)","2.17 (2.85)","1.97 (1.77)","1.99 (2.73)","1.44 (1.53)"
"  Median [Min, Max]","1.04 [0, 11.6]","0.880 [0, 5.04]","1.19 [0, 10.5]","1.83 [0, 6.11]","1.19 [0, 11.6]","1.04 [0, 6.11]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"GM-CSF","","","","","",""
"  Mean (SD)","4.38 (15.6)","1.30 (4.26)","2.54 (6.67)","1.12 (2.25)","3.50 (12.1)","1.23 (3.59)"
"  Median [Min, Max]","0 [0, 77.1]","0 [0, 19.1]","0 [0, 25.7]","0 [0, 6.59]","0 [0, 77.1]","0 [0, 19.1]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IFN alpha","","","","","",""
"  Mean (SD)","0.0754 (0.236)","0.0648 (0.156)","1.28 (2.57)","0.242 (0.565)","0.652 (1.88)","0.133 (0.377)"
"  Median [Min, Max]","0 [0, 1.30]","0 [0, 0.743]","0.390 [0, 11.7]","0.0650 [0, 2.42]","0 [0, 11.7]","0 [0, 2.42]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IFN gamma","","","","","",""
"  Mean (SD)","3.12 (3.63)","1.98 (1.92)","1.92 (1.09)","2.41 (2.55)","2.54 (2.77)","2.15 (2.17)"
"  Median [Min, Max]","1.34 [0.290, 14.4]","1.26 [0.145, 8.51]","1.89 [0, 4.50]","1.49 [0.415, 11.6]","1.71 [0, 14.4]","1.37 [0.145, 11.6]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-1 beta","","","","","",""
"  Mean (SD)","0.859 (1.58)","0.544 (0.935)","1.18 (1.78)","0.988 (1.05)","1.01 (1.67)","0.716 (0.996)"
"  Median [Min, Max]","0.418 [0, 6.67]","0 [0, 3.74]","0.435 [0, 7.66]","0.720 [0, 3.73]","0.435 [0, 7.66]","0.290 [0, 3.74]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-2","","","","","",""
"  Mean (SD)","1.13 (4.41)","1.52 (4.12)","3.18 (8.47)","1.90 (2.81)","2.11 (6.70)","1.67 (3.64)"
"  Median [Min, Max]","0 [0, 26.0]","0 [0, 19.5]","0 [0, 35.1]","0.725 [0, 9.05]","0 [0, 35.1]","0 [0, 19.5]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-4","","","","","",""
"  Mean (SD)","7.61 (9.95)","7.10 (9.53)","13.1 (9.06)","13.5 (10.1)","10.3 (9.87)","9.58 (10.1)"
"  Median [Min, Max]","4.40 [0, 54.2]","4.24 [0.415, 48.5]","9.64 [0, 41.0]","9.82 [0.365, 34.1]","7.54 [0, 54.2]","6.24 [0.365, 48.5]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-5","","","","","",""
"  Mean (SD)","0.599 (0.850)","0.962 (1.69)","2.54 (4.85)","1.99 (1.79)","1.53 (3.52)","1.36 (1.78)"
"  Median [Min, Max]","0.113 [0, 2.81]","0 [0, 6.64]","0.680 [0, 18.1]","1.50 [0, 6.88]","0.460 [0, 18.1]","0.490 [0, 6.88]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-6","","","","","",""
"  Mean (SD)","9.27 (14.8)","11.9 (19.4)","9.02 (9.85)","72.4 (245)","9.15 (12.6)","35.4 (154)"
"  Median [Min, Max]","1.75 [0, 59.9]","3.61 [0, 86.2]","5.28 [0, 27.5]","3.32 [0, 1070]","2.88 [0, 59.9]","3.52 [0, 1070]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-8 (CXCL8)","","","","","",""
"  Mean (SD)","3.16 (6.64)","2.26 (2.24)","1.33 (1.17)","4.08 (10.3)","2.28 (4.92)","2.96 (6.61)"
"  Median [Min, Max]","0.600 [0, 30.9]","1.47 [0, 9.57]","1.04 [0, 4.23]","0.940 [0, 45.8]","0.930 [0, 30.9]","1.31 [0, 45.8]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-10","","","","","",""
"  Mean (SD)","0.204 (0.495)","0.985 (4.02)","0.751 (1.32)","0.768 (2.07)","0.466 (1.01)","0.901 (3.37)"
"  Median [Min, Max]","0 [0, 2.38]","0 [0, 22.0]","0.420 [0, 7.04]","0.0750 [0, 9.13]","0 [0, 7.04]","0 [0, 22.0]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-12p70","","","","","",""
"  Mean (SD)","1.97 (4.09)","0.952 (1.41)","1.32 (1.98)","1.15 (1.28)","1.66 (3.25)","1.03 (1.35)"
"  Median [Min, Max]","0.738 [0, 17.5]","0.233 [0, 5.84]","0.485 [0, 8.14]","0.695 [0, 4.69]","0.730 [0, 17.5]","0.540 [0, 5.84]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-13","","","","","",""
"  Mean (SD)","4.33 (10.5)","1.44 (3.89)","1.45 (3.06)","0.538 (0.951)","2.95 (7.96)","1.09 (3.11)"
"  Median [Min, Max]","0 [0, 48.9]","0 [0, 19.7]","0 [0, 12.0]","0.150 [0, 3.58]","0 [0, 48.9]","0 [0, 19.7]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-17A (CTLA-8)","","","","","",""
"  Mean (SD)","0.913 (2.84)","0.597 (0.916)","1.23 (2.42)","0.871 (1.01)","1.06 (2.63)","0.703 (0.951)"
"  Median [Min, Max]","0.135 [0, 17.3]","0.190 [0, 3.90]","0.350 [0, 13.2]","0.520 [0, 3.51]","0.345 [0, 17.3]","0.390 [0, 3.90]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IL-18","","","","","",""
"  Mean (SD)","103 (118)","83.3 (110)","58.8 (30.8)","83.1 (122)","81.7 (89.9)","83.2 (114)"
"  Median [Min, Max]","51.4 [11.9, 533]","54.8 [14.1, 619]","55.8 [0, 128]","42.5 [18.8, 551]","54.0 [0, 533]","49.6 [14.1, 619]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"IP-10 (CXCL10)","","","","","",""
"  Mean (SD)","16.4 (20.6)","18.9 (21.7)","27.9 (16.5)","25.6 (19.6)","21.9 (19.5)","21.5 (21.0)"
"  Median [Min, Max]","8.80 [1.58, 114]","13.5 [2.80, 93.0]","26.1 [0, 66.9]","19.8 [6.72, 85.6]","15.4 [0, 114]","14.4 [2.80, 93.0]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MCP-1 (CCL2)","","","","","",""
"  Mean (SD)","35.6 (30.1)","29.5 (21.8)","36.3 (27.0)","43.8 (46.8)","36.0 (28.5)","35.1 (34.0)"
"  Median [Min, Max]","25.2 [1.72, 110]","20.2 [5.00, 106]","22.0 [0, 90.8]","33.4 [4.71, 200]","25.1 [0, 110]","22.0 [4.71, 200]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MIP-1 alpha (CCL3)","","","","","",""
"  Mean (SD)","0.912 (1.45)","0.792 (1.35)","0.881 (1.79)","1.19 (3.12)","0.897 (1.61)","0.948 (2.19)"
"  Median [Min, Max]","0.0225 [0, 4.96]","0.205 [0, 5.67]","0.0150 [0, 6.68]","0.0200 [0, 11.2]","0.0150 [0, 6.68]","0.0800 [0, 11.2]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"MIP-1 beta (CCL4)","","","","","",""
"  Mean (SD)","10.8 (16.4)","8.05 (13.7)","18.3 (21.5)","10.6 (16.8)","14.4 (19.2)","9.05 (14.9)"
"  Median [Min, Max]","3.83 [0, 70.1]","2.59 [0, 67.1]","6.56 [0, 69.0]","2.51 [0, 51.6]","4.56 [0, 70.1]","2.51 [0, 67.1]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"TNF alpha","","","","","",""
"  Mean (SD)","1.34 (1.51)","1.03 (0.945)","1.40 (1.30)","2.00 (2.04)","1.37 (1.40)","1.40 (1.52)"
"  Median [Min, Max]","0.865 [0, 8.60]","0.680 [0, 3.61]","0.945 [0, 4.99]","1.18 [0.470, 9.01]","0.890 [0, 8.60]","1.06 [0, 9.01]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"TNF beta","","","","","",""
"  Mean (SD)","0.617 (1.81)","0.242 (0.729)","0.900 (2.16)","0.200 (0.404)","0.753 (1.98)","0.225 (0.618)"
"  Median [Min, Max]","0 [0, 9.98]","0 [0, 3.34]","0 [0, 10.0]","0 [0, 1.40]","0 [0, 10.0]","0 [0, 3.34]"
"  Missing","1 (2.6%)","3 (9.1%)","41 (53.9%)","15 (44.1%)","42 (36.5%)","18 (26.9%)"
"Still_In_Hospital_08182023","","","","","",""
"  Yes","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  No","39 (100%)","33 (100%)","76 (100%)","34 (100%)","115 (100%)","67 (100%)"
